From To Probability
0 16 0.174612
0 8 0.176666
0 4 0.175986
0 2 0.302904
0 1 0.169832
1 17 0.00179974
1 9 0.00179974
1 5 0.00179974
1 3 0.994601
2 18 0.389142
2 10 0.000189544
2 6 0.499425
2 3 0.111243
3 19 0.333333
3 11 0.333333
3 7 0.333333
4 20 0.202258
4 12 0.690341
4 6 0.107365
4 5 3.56757e-05
5 21 0.333333
5 13 0.333333
5 7 0.333333
6 22 0.333333
6 14 0.333333
6 7 0.333333
7 23 0.5
7 15 0.5
8 24 5.41231e-05
8 12 0.999838
8 10 5.41231e-05
8 9 5.41231e-05
9 25 0.333333
9 13 0.333333
9 11 0.333333
10 26 0.333333
10 14 0.333333
10 11 0.333333
11 27 0.5
11 15 0.5
12 28 0.333333
12 14 0.333333
12 13 0.333333
13 29 0.5
13 15 0.5
14 30 0.5
14 15 0.5
15 31 1
16 24 0.000135621
16 20 0.705515
16 18 0.294214
16 17 0.000135621
17 25 0.333333
17 21 0.333333
17 19 0.333333
18 26 0.333333
18 22 0.333333
18 19 0.333333
19 27 0.5
19 23 0.5
20 28 0.333333
20 22 0.333333
20 21 0.333333
21 29 0.5
21 23 0.5
22 30 0.5
22 23 0.5
23 31 1
24 28 0.333333
24 26 0.333333
24 25 0.333333
25 29 0.5
25 27 0.5
26 30 0.5
26 27 0.5
27 31 1
28 30 0.5
28 29 0.5
29 31 1
30 31 1
